State,Data Item,Value,CV (%)
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",2690,25.5
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",2760,22.6
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",10558,27.3
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",2399,8.9
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",2486,28.8
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",2342,17.5
KENTUCKY,"TENANTS - TENANTS, MEASURED IN COUNT",3398,16.6
KENTUCKY,"TENANTS, FIRST - ACRES RENTED",3638187,25.9
KENTUCKY,"TENANTS, FIRST - ACRES RENTED",2853225,20.9
KENTUCKY,"TENANTS, FIRST - ACRES RENTED",784962,9.5
KENTUCKY,"TENANTS, FIRST - AREA RENTED, MEASURED IN COUNT",45260,12.9
KENTUCKY,"TENANTS, FIRST - AREA RENTED, MEASURED IN COUNT",33209,15
KENTUCKY,"TENANTS, FIRST - AREA RENTED, MEASURED IN COUNT",12051,31
KENTUCKY,"TENANTS, FIRST - YEARS RENTED TO TENANT, AVG, MEASURED IN COUNT",45260,15.7
KENTUCKY,"TENANTS, FIRST - YEARS RENTED TO TENANT, AVG, MEASURED IN COUNT",33209,20.4
KENTUCKY,"TENANTS, FIRST - YEARS RENTED TO TENANT, AVG, MEASURED IN COUNT",12051,23
KENTUCKY,"TENANTS, FIRST - YEARS RENTED TO TENANT, AVG, MEASURED IN YEARS",9.4,9.6
KENTUCKY,"TENANTS, FIRST - YEARS RENTED TO TENANT, AVG, MEASURED IN YEARS",10.2,18.7
KENTUCKY,"TENANTS, FIRST - YEARS RENTED TO TENANT, AVG, MEASURED IN YEARS",6.9,18.9
KENTUCKY,"TENANTS, FIRST, LANDLORD LIVES IN SAME COUNTY AS MAJORITY OF AG LAND, RENTED TO TENANT - ACRES RENTED",2118763,21.3
KENTUCKY,"TENANTS, FIRST, LANDLORD LIVES IN SAME COUNTY AS MAJORITY OF AG LAND, RENTED TO TENANT - AREA RENTED, MEASURED IN COUNT",24326,10.3
KENTUCKY,"TENANTS, FIRST, LEASE, ALLOWS PAYMENT ADJUSTMENT FOR UNUSUAL CONDITIONS - ACRES RENTED",480989,16
KENTUCKY,"TENANTS, FIRST, LEASE, ALLOWS PAYMENT ADJUSTMENT FOR UNUSUAL CONDITIONS - ACRES RENTED",407423,11.9
KENTUCKY,"TENANTS, FIRST, LEASE, ALLOWS PAYMENT ADJUSTMENT FOR UNUSUAL CONDITIONS - AREA RENTED, MEASURED IN COUNT",4880,14.1
KENTUCKY,"TENANTS, FIRST, LEASE, ALLOWS PAYMENT ADJUSTMENT FOR UNUSUAL CONDITIONS - AREA RENTED, MEASURED IN COUNT",4147,15.7
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, CASH, FIXED - ACRES RENTED",2314104,33.9
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, CASH, FIXED - ACRES RENTED",1910071,17.2
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, CASH, FIXED - ACRES RENTED",404033,23.1
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, CASH, FIXED - AREA RENTED, MEASURED IN COUNT",28436,24.8
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, CASH, FIXED - AREA RENTED, MEASURED IN COUNT",22121,18
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, CASH, FIXED - AREA RENTED, MEASURED IN COUNT",6315,19.2
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, SHARE - ACRES RENTED",1093029,22.4
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, SHARE - ACRES RENTED",805824,23.1
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, SHARE - ACRES RENTED",287205,23
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, SHARE - AREA RENTED, MEASURED IN COUNT",11412,18.7
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, SHARE - AREA RENTED, MEASURED IN COUNT",7339,19.1
KENTUCKY,"TENANTS, FIRST, LEASE, PAYMENT TYPE, SHARE - AREA RENTED, MEASURED IN COUNT",4072,37.5
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, 3 YEARS - ACRES RENTED",246078,23.6
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, 3 YEARS - AREA RENTED, MEASURED IN COUNT",3209,10.8
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, ANNUAL - ACRES RENTED",2736148,11.7
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, ANNUAL - ACRES RENTED",2123722,10.8
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, ANNUAL - ACRES RENTED",612426,12
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, ANNUAL - AREA RENTED, MEASURED IN COUNT",36395,1.1
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, ANNUAL - AREA RENTED, MEASURED IN COUNT",27416,1.1
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, ANNUAL - AREA RENTED, MEASURED IN COUNT",8979,2.9
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, GE 4 YEARS - ACRES RENTED",547656,4.9
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, GE 4 YEARS - ACRES RENTED",440481,5.8
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, GE 4 YEARS - AREA RENTED, MEASURED IN COUNT",4402,6.6
KENTUCKY,"TENANTS, FIRST, LEASE, RENEWAL TERM, GE 4 YEARS - AREA RENTED, MEASURED IN COUNT",2574,18.2
KENTUCKY,"TENANTS, FIRST, LEASE, WRITTEN - ACRES RENTED",927671,22.5
KENTUCKY,"TENANTS, FIRST, LEASE, WRITTEN - ACRES RENTED",684767,30.1
KENTUCKY,"TENANTS, FIRST, LEASE, WRITTEN - ACRES RENTED",242904,12.9
KENTUCKY,"TENANTS, FIRST, LEASE, WRITTEN - AREA RENTED, MEASURED IN COUNT",11630,16.3
KENTUCKY,"TENANTS, FIRST, LEASE, WRITTEN - AREA RENTED, MEASURED IN COUNT",7463,16.5
KENTUCKY,"TENANTS, FIRST, LEASE, WRITTEN - AREA RENTED, MEASURED IN COUNT",4168,7.6
KENTUCKY,"TENANTS, FIRST, RELATED TO A LANDLORD - ACRES RENTED",869289,8.3
KENTUCKY,"TENANTS, FIRST, RELATED TO A LANDLORD - ACRES RENTED",691851,21.9
KENTUCKY,"TENANTS, FIRST, RELATED TO A LANDLORD - ACRES RENTED",177439,25.3
KENTUCKY,"TENANTS, FIRST, RELATED TO A LANDLORD - AREA RENTED, MEASURED IN COUNT",8744,5.3
KENTUCKY,"TENANTS, FIRST, RELATED TO A LANDLORD - AREA RENTED, MEASURED IN COUNT",5491,6.1
KENTUCKY,"TENANTS, FIRST, RELATED TO A LANDLORD - AREA RENTED, MEASURED IN COUNT",3253,6.9
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, 5 TO 9 YEARS - ACRES RENTED",800445,7.3
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, 5 TO 9 YEARS - ACRES RENTED",605471,10.4
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, 5 TO 9 YEARS - ACRES RENTED",194974,9.7
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, 5 TO 9 YEARS - AREA RENTED, MEASURED IN COUNT",9376,9.3
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, 5 TO 9 YEARS - AREA RENTED, MEASURED IN COUNT",7422,9.3
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, 5 TO 9 YEARS - AREA RENTED, MEASURED IN COUNT",1954,7.2
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, GE 10 YEARS - ACRES RENTED",1937552,8
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, GE 10 YEARS - ACRES RENTED",1612188,32.1
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, GE 10 YEARS - ACRES RENTED",325363,19.1
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, GE 10 YEARS - AREA RENTED, MEASURED IN COUNT",18614,5.9
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, GE 10 YEARS - AREA RENTED, MEASURED IN COUNT",14452,8.2
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, GE 10 YEARS - AREA RENTED, MEASURED IN COUNT",4162,22.9
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, LT 5 YEARS - ACRES RENTED",900191,23.3
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, LT 5 YEARS - ACRES RENTED",635566,37
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, LT 5 YEARS - ACRES RENTED",264625,29.7
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, LT 5 YEARS - AREA RENTED, MEASURED IN COUNT",17270,7.7
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, LT 5 YEARS - AREA RENTED, MEASURED IN COUNT",11336,6.3
KENTUCKY,"TENANTS, FIRST, YEARS RENTED TO TENANT, LT 5 YEARS - AREA RENTED, MEASURED IN COUNT",5934,23.2
KENTUCKY,"TENANTS, SECOND - ACRES RENTED",251726,15.6
KENTUCKY,"TENANTS, SECOND - ACRES RENTED",207635,6.7
KENTUCKY,"TENANTS, SECOND - ACRES RENTED",44091,6.6
KENTUCKY,"TENANTS, SECOND - AREA RENTED, MEASURED IN COUNT",4686,26.2
KENTUCKY,"TENANTS, SECOND - AREA RENTED, MEASURED IN COUNT",3192,19.8
KENTUCKY,"TENANTS, SECOND - AREA RENTED, MEASURED IN COUNT",1493,27.9
KENTUCKY,"TENANTS, SECOND - YEARS RENTED TO TENANT, AVG, MEASURED IN COUNT",4686,20.1
KENTUCKY,"TENANTS, SECOND - YEARS RENTED TO TENANT, AVG, MEASURED IN COUNT",3192,54.9
KENTUCKY,"TENANTS, SECOND - YEARS RENTED TO TENANT, AVG, MEASURED IN COUNT",1493,54.9
KENTUCKY,"TENANTS, SECOND - YEARS RENTED TO TENANT, AVG, MEASURED IN YEARS",7.5,(H)
KENTUCKY,"TENANTS, SECOND - YEARS RENTED TO TENANT, AVG, MEASURED IN YEARS",9.1,68.3
KENTUCKY,"TENANTS, SECOND - YEARS RENTED TO TENANT, AVG, MEASURED IN YEARS",3.9,5.7
KENTUCKY,"TENANTS, SECOND, LEASE, PAYMENT TYPE, CASH, FIXED - ACRES RENTED",147664,4.9
KENTUCKY,"TENANTS, SECOND, LEASE, PAYMENT TYPE, CASH, FIXED - ACRES RENTED",134973,16.5
KENTUCKY,"TENANTS, SECOND, LEASE, PAYMENT TYPE, CASH, FIXED - AREA RENTED, MEASURED IN COUNT",3102,7.8
KENTUCKY,"TENANTS, SECOND, LEASE, PAYMENT TYPE, CASH, FIXED - AREA RENTED, MEASURED IN COUNT",2378,9.3
KENTUCKY,"TENANTS, SECOND, LEASE, RENEWAL TERM, ANNUAL - ACRES RENTED",189826,7.8
KENTUCKY,"TENANTS, SECOND, LEASE, RENEWAL TERM, ANNUAL - ACRES RENTED",145735,
KENTUCKY,"TENANTS, SECOND, LEASE, RENEWAL TERM, ANNUAL - ACRES RENTED",44091,
KENTUCKY,"TENANTS, SECOND, LEASE, RENEWAL TERM, ANNUAL - AREA RENTED, MEASURED IN COUNT",3857,
KENTUCKY,"TENANTS, SECOND, LEASE, RENEWAL TERM, ANNUAL - AREA RENTED, MEASURED IN COUNT",2364,
KENTUCKY,"TENANTS, SECOND, LEASE, RENEWAL TERM, ANNUAL - AREA RENTED, MEASURED IN COUNT",1493,
KENTUCKY,"TENANTS, SECOND, YEARS RENTED TO TENANT, LT 10 YEARS - ACRES RENTED",178573,
KENTUCKY,"TENANTS, SECOND, YEARS RENTED TO TENANT, LT 10 YEARS - AREA RENTED, MEASURED IN COUNT",3016,
LOUISIANA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",0,
LOUISIANA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",0,
LOUISIANA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",0,
LOUISIANA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",3,
LOUISIANA,"AG LAND, ORGANIC - ACRES",4303,
LOUISIANA,"AG LAND, ORGANIC - ACRES",4004,
LOUISIANA,"AG LAND, ORGANIC - ACRES",299,
LOUISIANA,"AG LAND, ORGANIC - NUMBER OF OPERATIONS",23,
LOUISIANA,"AG LAND, ORGANIC - NUMBER OF OPERATIONS",14,
LOUISIANA,"AG LAND, ORGANIC - NUMBER OF OPERATIONS",9,
LOUISIANA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",3,
LOUISIANA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",3,
LOUISIANA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",3,
LOUISIANA,"AG LAND, ORGANIC, CROP INSURANCE - NUMBER OF OPERATIONS",3,
LOUISIANA,"AG LAND, ORGANIC, OWNED - ACRES",1987,
LOUISIANA,"AG LAND, ORGANIC, OWNED - ACRES",1688,
LOUISIANA,"AG LAND, ORGANIC, OWNED - ACRES",299,
LOUISIANA,"AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS",17,
LOUISIANA,"AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS",8,
LOUISIANA,"AG LAND, ORGANIC, OWNED - NUMBER OF OPERATIONS",9,
LOUISIANA,"AG LAND, ORGANIC, OWNED, TRANSITIONING - ACRES",0,
LOUISIANA,"AG LAND, ORGANIC, OWNED, TRANSITIONING - NUMBER OF OPERATIONS",3,
LOUISIANA,"AG LAND, ORGANIC, RENTED FROM OTHERS - ACRES",2316,
LOUISIANA,"AG LAND, ORGANIC, RENTED FROM OTHERS - ACRES",2316,
LOUISIANA,"AG LAND, ORGANIC, RENTED FROM OTHERS - NUMBER OF OPERATIONS",7,
LOUISIANA,"AG LAND, ORGANIC, RENTED FROM OTHERS - NUMBER OF OPERATIONS",7,4.7
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,8.3
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,17.4
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,7.3
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - ACRES",0,7
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",3,9
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",1,9.7
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,5.7
LOUISIANA,"AG LAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,8.4
LOUISIANA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES",0,10
LOUISIANA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - ACRES",0,5.4
LOUISIANA,"AG LAND, PASTURELAND, (EXCL RANGE), ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,13.4
LOUISIANA,"AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES",0,6.7
LOUISIANA,"AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES",0,17.3
LOUISIANA,"AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - ACRES",0,6
LOUISIANA,"AG LAND, PASTURELAND, RANGE ONLY, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,21.3
LOUISIANA,"FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS",23,6
LOUISIANA,"FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS",14,15.4
LOUISIANA,"FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS",9,28.6
LOUISIANA,"FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS",29,9.8
LOUISIANA,"FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS",36,11.5
LOUISIANA,"FARM OPERATIONS, ORGANIC - OPERATIONS, MEASURED IN PCT BY YEARS",36,16.3
LOUISIANA,"PRACTICES, 5 YEAR PRODUCTION PLAN, DISCONTINUE ALL AG - NUMBER OF OPERATIONS",2,17.2
LOUISIANA,"PRACTICES, 5 YEAR PRODUCTION PLAN, DISCONTINUE ALL AG - NUMBER OF OPERATIONS",2,7.4
LOUISIANA,"PRACTICES, 5 YEAR PRODUCTION PLAN, DISCONTINUE ALL AG - OPERATIONS, MEASURED IN PCT BY PRACTICE",10,17.9
LOUISIANA,"PRACTICES, 5 YEAR PRODUCTION PLAN, DISCONTINUE ALL AG - OPERATIONS, MEASURED IN PCT BY PRACTICE",17,15.1
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, DISCONTINUE - NUMBER OF OPERATIONS",2,10.8
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, DISCONTINUE - NUMBER OF OPERATIONS",2,15.8
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, DISCONTINUE - OPERATIONS, MEASURED IN PCT BY PRACTICE",10,13.5
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, DISCONTINUE - OPERATIONS, MEASURED IN PCT BY PRACTICE",17,38.5
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - NUMBER OF OPERATIONS",3,12.1
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - NUMBER OF OPERATIONS",3,21.5
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - OPERATIONS, MEASURED IN PCT BY PRACTICE",14,4.6
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, INCREASE - OPERATIONS, MEASURED IN PCT BY PRACTICE",25,4.5
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - NUMBER OF OPERATIONS",7,33.6
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - NUMBER OF OPERATIONS",3,6.6
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - NUMBER OF OPERATIONS",4,18.5
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - OPERATIONS, MEASURED IN PCT BY PRACTICE",33,23.7
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - OPERATIONS, MEASURED IN PCT BY PRACTICE",25,5.6
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, MAINTAIN CURRENT LEVEL - OPERATIONS, MEASURED IN PCT BY PRACTICE",44,9.7
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - NUMBER OF OPERATIONS",7,73.3
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - NUMBER OF OPERATIONS",2,73.3
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - NUMBER OF OPERATIONS",5,72.6
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - OPERATIONS, MEASURED IN PCT BY PRACTICE",33,72.1
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - OPERATIONS, MEASURED IN PCT BY PRACTICE",16,16.9
LOUISIANA,"PRACTICES, ORGANIC, 5 YEAR PRODUCTION PLAN, UNKNOWN - OPERATIONS, MEASURED IN PCT BY PRACTICE",56,17.1
LOUISIANA,"PRACTICES, ORGANIC, ADEQUATE PRODUCTION INPUTS AVAILABLE - NUMBER OF OPERATIONS",12,(H)
LOUISIANA,"PRACTICES, ORGANIC, ADEQUATE PRODUCTION INPUTS AVAILABLE - NUMBER OF OPERATIONS",7,15.2
LOUISIANA,"PRACTICES, ORGANIC, ADEQUATE PRODUCTION INPUTS AVAILABLE - NUMBER OF OPERATIONS",5,15.2
LOUISIANA,"PRACTICES, ORGANIC, BENEFICIAL INSECT OR VERTEBRATE HABITAT MAINTAINED - NUMBER OF OPERATIONS",9,(H)
LOUISIANA,"PRACTICES, ORGANIC, BENEFICIAL INSECT OR VERTEBRATE HABITAT MAINTAINED - NUMBER OF OPERATIONS",4,11.5
LOUISIANA,"PRACTICES, ORGANIC, BENEFICIAL INSECT OR VERTEBRATE HABITAT MAINTAINED - NUMBER OF OPERATIONS",5,10.9
LOUISIANA,"PRACTICES, ORGANIC, BENEFICIAL ORGANISMS APPLIED OR RELEASED - NUMBER OF OPERATIONS",4,64.8
LOUISIANA,"PRACTICES, ORGANIC, BENEFICIAL ORGANISMS APPLIED OR RELEASED - NUMBER OF OPERATIONS",4,11.2
LOUISIANA,"PRACTICES, ORGANIC, BIOLOGICAL PEST MGMT - NUMBER OF OPERATIONS",6,10.8
LOUISIANA,"PRACTICES, ORGANIC, BIOLOGICAL PEST MGMT - NUMBER OF OPERATIONS",4,68.2
LOUISIANA,"PRACTICES, ORGANIC, BIOLOGICAL PEST MGMT - NUMBER OF OPERATIONS",2,40.9
LOUISIANA,"PRACTICES, ORGANIC, BUFFER STRIPS OR BORDER ROWS MAINTAINED, TO ISOLATE ORGANIC FROM CONVENTIONAL CROPS - NUMBER OF OPERATIONS",14,35
LOUISIANA,"PRACTICES, ORGANIC, BUFFER STRIPS OR BORDER ROWS MAINTAINED, TO ISOLATE ORGANIC FROM CONVENTIONAL CROPS - NUMBER OF OPERATIONS",10,40.7
LOUISIANA,"PRACTICES, ORGANIC, BUFFER STRIPS OR BORDER ROWS MAINTAINED, TO ISOLATE ORGANIC FROM CONVENTIONAL CROPS - NUMBER OF OPERATIONS",4,34.8
LOUISIANA,"PRACTICES, ORGANIC, CONSERVATION TILLAGE, NO-TILL OR MINIMUM TILL - NUMBER OF OPERATIONS",9,8.7
LOUISIANA,"PRACTICES, ORGANIC, CONSERVATION TILLAGE, NO-TILL OR MINIMUM TILL - NUMBER OF OPERATIONS",4,8.6
LOUISIANA,"PRACTICES, ORGANIC, CONSERVATION TILLAGE, NO-TILL OR MINIMUM TILL - NUMBER OF OPERATIONS",5,48.2
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, OTHER REASON - NUMBER OF OPERATIONS",5,11.3
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, OTHER REASON - NUMBER OF OPERATIONS",5,12.1
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, OTHER REASON - OPERATIONS, MEASURED IN PCT OF OPERATIONS",45,53.3
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, OTHER REASON - OPERATIONS, MEASURED IN PCT OF OPERATIONS",56,27.2
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, TOO EXPENSIVE - NUMBER OF OPERATIONS",4,27.2
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, TOO EXPENSIVE - NUMBER OF OPERATIONS",2,8.8
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, TOO EXPENSIVE - NUMBER OF OPERATIONS",2,8.7
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, TOO EXPENSIVE - OPERATIONS, MEASURED IN PCT OF OPERATIONS",36,64.8
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, TOO EXPENSIVE - OPERATIONS, MEASURED IN PCT OF OPERATIONS",22,4.5
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, TOO EXPENSIVE - OPERATIONS, MEASURED IN PCT OF OPERATIONS",100,4.6
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, UNFAMILIAR WITH CROP INSURANCE - NUMBER OF OPERATIONS",2,53.2
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, UNFAMILIAR WITH CROP INSURANCE - NUMBER OF OPERATIONS",2,15.6
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, UNFAMILIAR WITH CROP INSURANCE - OPERATIONS, MEASURED IN PCT OF OPERATIONS",19,15.9
LOUISIANA,"PRACTICES, ORGANIC, CROP INSURANCE, NOT PURCHASED, UNFAMILIAR WITH CROP INSURANCE - OPERATIONS, MEASURED IN PCT OF OPERATIONS",22,68.3
LOUISIANA,"PRACTICES, ORGANIC, CROP OR PLANT VARIETY CHOSEN FOR SPECIFIC PEST RESISTANCE - NUMBER OF OPERATIONS",9,22.6
LOUISIANA,"PRACTICES, ORGANIC, CROP OR PLANT VARIETY CHOSEN FOR SPECIFIC PEST RESISTANCE - NUMBER OF OPERATIONS",4,22.5
LOUISIANA,"PRACTICES, ORGANIC, CROP OR PLANT VARIETY CHOSEN FOR SPECIFIC PEST RESISTANCE - NUMBER OF OPERATIONS",5,51.5
LOUISIANA,"PRACTICES, ORGANIC, FREE RANGE ANIMAL PRODUCTION - NUMBER OF OPERATIONS",3,13.8
LOUISIANA,"PRACTICES, ORGANIC, FREE RANGE ANIMAL PRODUCTION - NUMBER OF OPERATIONS",3,15.2
LOUISIANA,"PRACTICES, ORGANIC, GOVT PROGRAMS, FEDERAL, EQIP ORGANIC INITIATIVE - ACRES",164,
LOUISIANA,"PRACTICES, ORGANIC, GOVT PROGRAMS, FEDERAL, EQIP ORGANIC INITIATIVE - ACRES",164,28.8
LOUISIANA,"PRACTICES, ORGANIC, GOVT PROGRAMS, FEDERAL, EQIP ORGANIC INITIATIVE - NUMBER OF OPERATIONS",6,28.8
LOUISIANA,"PRACTICES, ORGANIC, GOVT PROGRAMS, FEDERAL, EQIP ORGANIC INITIATIVE - NUMBER OF OPERATIONS",6,28.2
LOUISIANA,"PRACTICES, ORGANIC, GOVT PROGRAMS, FEDERAL, NATIONAL ORGANIC CERTIFICATION COST SHARE - NUMBER OF OPERATIONS",8,26.8
LOUISIANA,"PRACTICES, ORGANIC, GOVT PROGRAMS, FEDERAL, NATIONAL ORGANIC CERTIFICATION COST SHARE - NUMBER OF OPERATIONS",8,51.1
LOUISIANA,"PRACTICES, ORGANIC, GREEN OR ANIMAL MANURES USED - NUMBER OF OPERATIONS",12,62.2
LOUISIANA,"PRACTICES, ORGANIC, GREEN OR ANIMAL MANURES USED - NUMBER OF OPERATIONS",8,61.5
LOUISIANA,"PRACTICES, ORGANIC, GREEN OR ANIMAL MANURES USED - NUMBER OF OPERATIONS",4,72
LOUISIANA,"PRACTICES, ORGANIC, MULCH OR COMPOST, PRODUCED OR USED - NUMBER OF OPERATIONS",10,9.8
